               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.022953,           0.0077975,           0.0077103,             0.99049,             0.98768,             0.99259,             0.83674,            0.009275,           0.0028921,           0.0013863,           0.0093268,           0.0093268,           0.0093268
                  36,             0.02322,           0.0076604,           0.0072985,             0.98828,             0.97616,             0.99192,             0.82908,           0.0092689,           0.0030138,           0.0018605,            0.009307,            0.009307,            0.009307
                  37,            0.021939,           0.0077006,           0.0073322,               0.987,             0.98295,             0.99289,             0.84846,           0.0092797,           0.0030058,            0.001697,           0.0092872,           0.0092872,           0.0092872
                  38,            0.023081,           0.0079111,           0.0078473,             0.98968,             0.98644,              0.9934,             0.83418,           0.0099962,           0.0030705,           0.0016602,           0.0092674,           0.0092674,           0.0092674
                  39,            0.022626,           0.0075607,           0.0074327,             0.99062,             0.98894,             0.99323,             0.84427,           0.0092348,           0.0028471,            0.001306,           0.0092476,           0.0092476,           0.0092476
                  40,            0.022215,           0.0075574,           0.0075178,             0.98959,             0.98697,             0.99249,              0.8395,           0.0096654,           0.0029113,           0.0014805,           0.0092278,           0.0092278,           0.0092278
                  41,            0.021859,           0.0076405,           0.0074762,             0.99373,             0.99294,             0.99407,             0.84933,           0.0092759,           0.0027897,           0.0010771,            0.009208,            0.009208,            0.009208
                  42,            0.022252,           0.0076244,           0.0077394,             0.99349,             0.98611,             0.99322,             0.83581,           0.0098881,           0.0029336,           0.0014167,           0.0091882,           0.0091882,           0.0091882
                  43,             0.02168,           0.0074118,           0.0071525,             0.99087,             0.98608,              0.9932,             0.84791,            0.009036,           0.0028863,           0.0017927,           0.0091684,           0.0091684,           0.0091684
                  44,            0.021866,           0.0076832,           0.0078817,              0.9914,             0.98855,             0.99389,             0.85651,           0.0086372,            0.002821,           0.0011565,           0.0091486,           0.0091486,           0.0091486
                  45,            0.021395,            0.007495,           0.0072501,             0.99328,             0.99053,             0.99382,             0.84529,           0.0089872,           0.0028822,           0.0012062,           0.0091288,           0.0091288,           0.0091288
                  46,            0.021744,           0.0076388,           0.0073831,              0.9906,             0.98501,             0.99185,             0.83862,           0.0093139,           0.0029166,           0.0015108,            0.009109,            0.009109,            0.009109
                  47,            0.020882,           0.0074345,           0.0067788,             0.99308,             0.98578,             0.99376,             0.85657,           0.0085328,           0.0028801,            0.001144,           0.0090892,           0.0090892,           0.0090892
                  48,            0.021289,           0.0073487,           0.0069274,             0.99414,             0.98544,             0.99338,             0.85394,           0.0088063,           0.0027709,           0.0012191,           0.0090694,           0.0090694,           0.0090694
                  49,            0.020455,           0.0071409,           0.0065357,             0.99137,             0.98606,             0.99408,             0.85516,           0.0090265,           0.0028135,           0.0011773,           0.0090496,           0.0090496,           0.0090496
                  50,            0.021122,           0.0071941,           0.0068202,             0.99003,             0.98807,             0.99387,             0.85048,           0.0091266,           0.0027752,           0.0011065,           0.0090298,           0.0090298,           0.0090298
                  51,            0.021011,           0.0072106,           0.0064629,             0.99012,             0.98972,             0.99384,             0.85842,           0.0085773,           0.0028057,           0.0012176,             0.00901,             0.00901,             0.00901
                  52,             0.02079,           0.0073374,           0.0062174,             0.99362,             0.98959,             0.99383,             0.85186,           0.0085602,           0.0027512,           0.0011296,           0.0089902,           0.0089902,           0.0089902
                  53,            0.020622,           0.0071127,           0.0054773,              0.9965,              0.9912,             0.99419,             0.86064,           0.0084398,           0.0027936,           0.0010054,           0.0089704,           0.0089704,           0.0089704
                  54,            0.020976,           0.0072405,           0.0067003,             0.99369,             0.98787,             0.99335,             0.84979,           0.0088925,           0.0028853,          0.00085743,           0.0089506,           0.0089506,           0.0089506
                  55,            0.021236,           0.0072368,           0.0069415,             0.99298,             0.98759,             0.99339,             0.84829,           0.0089363,           0.0027299,           0.0014208,           0.0089308,           0.0089308,           0.0089308
                  56,            0.021066,            0.007246,            0.006412,             0.99576,             0.98894,             0.99419,             0.85761,           0.0083929,           0.0027438,          0.00087259,            0.008911,            0.008911,            0.008911
                  57,            0.020114,           0.0072545,           0.0063503,              0.9907,             0.98638,              0.9944,             0.85638,           0.0084776,           0.0027517,           0.0011157,           0.0088912,           0.0088912,           0.0088912
